ID,ROK,KOLOR,NAZWA WINA,POCHODZENIE,SZCZEP,BECZKA,OPIS,ALK.,POJ.,CENA NETTO,IMAGES,KRAJ,
NB.01,24,Białe,Neblina Sauvignon Blanc,Central Valley - Chile,85% Sauvignon Blanc z 15% dodatkiem innych odmian.,,"Wino wytrawne. Zielonkawa barwa. Nos z aromatem owoców cytrusowych, grejpfruta i ziół. W smaku świeże, dobrze wyważone, dające odczucie wina półwytrawnego. Ręcz nie i mechanicznie zbierane winogrona dojrzewają 2 miesiące w kadzi ze stali nierdzewnej. Polecane do ryb i owoców morza.",12,75cl,"25,00",NB.01.png,Chile,Otwórz plik
NB.04,24,Białe,Neblina Chardonnay,Central Valley - Chile,95% Chardonnay z 5% dodatkiem innych odmian.,,"Wino wytrawne. Intensywne i świeże aromaty z owocami cytrusowymi, gruszką i ananasem. W smaku świeże, delikatne i wyważone. Ręcznie oraz mechanicznie zbierane winogrona (plon z 1 ha winnicy 10-20 ton) dojrzewają 2 miesiące w kadzi ze stali nierdzewnej. Polecane do ryb i owoców morza.",12,75cl,"25,00",NB.04.png,Chile,Otwórz plik
NB.02,22,Czerwone,Neblina Cabernet Sauvignon,Central Valley - Chile,85% Cabernet Sauvignon z 15% dodatkiem innych odmian.,,"Wino wytrawne. Rubinowa barwa z fioletowymi refleksami. Intensywne aromaty śliwki z nutami czekolady. Dobrze wyważone, z ułożonymi taninami i świetnym zakończeniem. Ręcznie (40%) oraz mechanicznie (60%) zbierane winogrona dojrzewają 4 miesiące w kadzi ze stali nierdzewnej. Polecane do grillowanego czerwonego mięsa.",12,75cl,"25,00",NB.02.png,Chile,Otwórz plik
NB.23,22,Białe,Cono Sur 20 Barrels Chardonnay Limited Edition,Casablanca Valley - Chile,Chardonnay 100%,85% wina 8 miesięcy,"Wino wytrawne. Wino dojrzewało 8 miesięcy we francuskim dębie. Bogate, w aromaty grejpfruta, limonki, białych kwiatów dobrze współistniejące z nutami tostu i migdałów. W smaku dobrze skoncentrowane, o dobrej kwasowości i mineralności. Znakomite do owoców morza, białego mięsa, łososia, makaronów, serów, orzechów, sałatek i deserów. Szczep: 100% Chardonnay Nazwa 20 Barrels odnosi się do roku 1996 kiedy to firma Cono Sur użyła 20 beczek do produkcji pierwszego wina ultra premium. 85% wina leżakowało, w beczkach z francuskiego dębu przez okres 8 miesięcy.","13,5",75cl,"90,00",NB.23.png,Chile,❌ brak pliku
NB.32,20,Czerwone,Cono Sur 20 Barrels Syrah Limited Edition,Limarí Valley - Chile,Syrah,16 miesięcy,"Wino wytrawne. Syrah o żywej czerwono-fioletowej barwie. Bogactwo aromatów, począwszy od malin, oliwek po fiołki. Intensywne i zrównoważone w ustach z długimi, trwałymi taninami. Idealnie nadaje się do podawania do wszystkich rodzajów mięs, wędlin, sałatki z wołowiną i makaronem. Wino leżakuje w beczkach z dębu francuskiego przez 17 miesięcy oraz 3 miesiące w zbiornikach ze stali nierdzewnej. Wino leżakowało 16 miesięcy w beczkach z francuskiego dębu.",14,75cl,"96,00",NB.32.png,Chile,❌ brak pliku
NB.31,22,Czerwone,Cono Sur 20 Barrels Carmenere Limited Edition,Cachapoal Valley - Chile,Syrah,20 miesięcy,"Wino wytrawne. Ciemno rubinowo-czerwone Carmenere. Wino ma złożone aromaty takie jak nuty jagód, czarnej porzeczki z pikantnym skórzanym wykończeniem. W smaku mocne i eleganckie z piękną koncentracją. Mocne taniny i struktura sprawiają że wino to idealnie nadaje się do podawania, z wędzoną wołowiną, sałatkami z makaronem, szpinakiem i pomidorami.","13,5",75cl,"96,00",NB.31.png,Chile,❌ brak pliku
NB.33,19,Czerwone,Silencio Cono Sur,Maipo Valley - Chile,Cabernet Sauvignon 100%,20 miesięcy,"Wino wytrawne. Wino o intensywnej rubinowej barwie, charakteryzuje się pysznymi aromatami czerwonych owoców, jagody, fiołków i liści czarnej porzeczki, a także piękno aromatów w pełni zintegrowane dąb, nuty tytoniu i popiół. Winogrona ręcznie zbierane. Wino świetnie zrównoważone, żywe, złożone i oryginalne. Wino leżakowało 20 miesięcy w beczkach z francuskiego dębu.","14,5",75cl,"399,00",NB.33.png,Chile,❌ brak pliku
NB.34,20,Czerwone,Ocio Cono Sur,Casablanca Valley - Chile,Pinot Noir 100%,70% wina przez 14 miesięcy,"Wino wytrawne. Eleganckie i delikatne Pinot Noir o głębokim smaku, i rubinowo-czerwonej barwie. Duża intensywność aromatyczna nut czerwonych owoców jak jagody, czerwona wiśnia i maliny oraz nuty przypraw i aromat tytoniu. Soczyste usta z przyjemną kwasowością. Finisz gładki, długi i niezapomniany. To wino pięknie komponuje się z dojrzewającymi serami, czerwonym mięsem, kaczką oraz rybami jak tuńczyk i łosoś.","14,5",75cl,"249,00",NB.34.png,Chile,❌ brak pliku
CA.43,21/24,Białe,Carmen Insigne Chardonnay,D.O. Central Valley - Chile,Chardonnay,,"Wino wytrawne. Słońce przebijające się o świcie przez mgłę, przykrywającą winnice Chardonnay w Central Valley, daje rześkie wino o jasnej, zielono-żółtej barwie. Nos z wyczuwalnymi nutami owoców tropikalnych, limonki, melona, białej brzoskwini oraz gruszki, pozostający w równowadze z delikatną mineralnością i kremowym orzechem laskowym w tle. W ustach spójne z owocowymi aromatami i mineralnością z wyraźnym finiszem.","12,5",75cl,"29,00",CA.43.png,Chile,Otwórz plik
CA.44,22/24,Białe,Carmen Insigne Sauvignon Blanc,D.O. Central Valley - Chile,Sauvignon Blanc,,"Wino wytrawne. Mikroklimat z wpływem zimnego Prądu Humboldta z Antarktydy odpowiada za charakterystyczną jasnosłomkową barwę tego Sauvignon Blanc i nadaje kwiatowo-mineralne aromaty. Świetne wino z wyczuwalnymi nutami świeżych owoców cytrusowych, melona, liścia pomidora i moreli. W ustach wyraźne, żywe, z trwałym soczystym finiszem. Znakomicie pasuje do owoców morza (szczególnie ostryg i krewetek), ryb, sałatek, białego mięsa czy jako aperitif.",12,75cl,"29,00",CA.44.png,Chile,Otwórz plik
CA.29,22/24,Czerwone,Carmen Insigne Cabernet Sauvignon,D.O. Central Valley - Chile,Cabernet Sauvignon,3 miesiące,"Wino wytrawne. Góry Andy, ze szczytami 7000 m, otaczają odosobnione doliny, gdzie najwyższej jakości Cabernet Sauvignon otrzymuje jasnorubinowy kolor z intensywnymi aromatami czerwonych i czarnych owoców. Wiśnie, jeżyny i śliwki mieszają się z delikatnymi niuansami przypraw. Znakomite wino, o dobrej strukturze i delikatnych taninach. Oddaje przyjemną równowagę owocowości i dębu wraz z długim zakończeniem. Polecane do serów, steków, pieczeni, makaronów, zapiekanek i potrawek.","13,5",75cl,"29,00",CA.29.png,Chile,Otwórz plik
CA.42,21/23,Czerwone,Carmen Insigne Merlot,D.O. Central Valley - Chile,Merlot,3 miesiące,"Wino wytrawne. Pomiędzy najsuchszą pustynią świata, Atakama, a lodowcami Patagonii, na trudnych terenach ze zróżnicowanym mikroklimatem uprawiana jest wyróżniająca się odmiana Merlot. Jedyna w swoim rodzaju jasnowiśniowa barwa z intensywnymi aromatami karmelu, wiśni i dojrzałych truskawek oraz delikatnymi nutami przypraw, kawy i drewna. Daje wino o delikatnych taninach i długim owocowym zakończeniu. Idealnie pasuje do każdego rodzaju sera, makaronów, drobiu i ryb.",13,75cl,"29,00",CA.42.png,Chile,Otwórz plik
CA.30,22,Czerwone,Carmen Insigne Carmenere,D.O. Central Valley - Chile,"90% Carmenere, 10% Cabernet Sauvignon",3 miesiące,"Wino wytrawne. Dojrzewa przez okres 10 miesięcy we francuskim dębie, a następnie dodatkowo 2 miesiące w butelce. Nos bogaty, dojrzały, z wyraźną nutą jeżyn, dojrzałych śliwek, dymu tytoniowego, grillowanej czerwonej papryki. Wino ma wspaniałą strukturę, głębię i koncentrację. Prawie słodkie, aksamitne taniny uwodzą podniebienie. Najlepiej podawać do nóżek lub combru jagnięcego, pieczonego lub grillowanego czerwonego mięsa oraz gulaszu.",13,75cl,"29,00",CA.30.png,Chile,Otwórz plik
